"RefDes","Name","Part","Value","BUILDOPT","Pattern"
"C1","EEE-1VA101XP","Part 1","100uF","1","PANASONIC_D"
"C2","EEE-1VA101XP","Part 1","100uF","1","PANASONIC_D"
"C3","CAP_1206","Part 1","1uF","1","CAP_1206"
"C4","CAP_0603","Part 1","10uF","3","CAP_0603"
"C5","EEE-1VA101XP","Part 1","100uF","1","PANASONIC_D"
"C6","CAP_0603","Part 1","10uF","1","CAP_0603"
"C7","CAP_0603","Part 1","10uF","1","CAP_0603"
"C8","CAP_0603","Part 1","1uF","1","CAP_0603"
"C9","CAP_0603","Part 1","10uF","1","CAP_0603"
"C10","CAP_0603","Part 1","10uF","1","CAP_0603"
"C11","CAP_1206","Part 1","10uF","1","CAP_1206"
"C12","CAP_1206","Part 1","47uF","1","CAP_1206"
"C13","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C14","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C15","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C16","CAP_1206","Part 1","47uF","1","CAP_1206"
"C17","CAP_1206","Part 1","47uF","1","CAP_1206"
"C18","CAP_0603","Part 1","N/A","1","CAP_0603"
"C19","CAP_0603","Part 1","2.7nF","1","CAP_0603"
"C20","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C21","CAP_1206","Part 1","47uF","1","CAP_1206"
"C22","CAP_1206","Part 1","47uF","1","CAP_1206"
"C23","CAP_0603","Part 1","N/A","1","CAP_0603"
"C24","CAP_0603","Part 1","2.7nF","1","CAP_0603"
"C25","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C26","CAP_0603","Part 1","1uF","1","CAP_0603"
"C27","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C28","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C32","06031A150JAT2A","Part 1","15pF ","1","CAP_0603"
"C33","CAP_1206","Part 1","1uF","1","CAP_1206"
"C34","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C35","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C36","06031A150JAT2A","Part 1","15pF ","1","CAP_0603"
"C37","CAP_0603","Part 1","1uF","1","CAP_0603"
"C40","CAP_0603","Part 1","10uF","1","CAP_0603"
"C41","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C42","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C43","CAP_0603","Part 1","0.22uF","1","CAP_0603"
"C44","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C45","EEE-1VA101XP","Part 1","100uF","1","PANASONIC_D"
"C46","CAP_0603","Part 1","10uF","1","CAP_0603"
"C47","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C48","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C49","CAP_0603","Part 1","0.22uF","1","CAP_0603"
"C50","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C51","EEE-1VA101XP","Part 1","100uF","1","PANASONIC_D"
"C52","CAP_0603","Part 1","10uF","1","CAP_0603"
"C53","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C54","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C55","CAP_0603","Part 1","0.22uF","1","CAP_0603"
"C56","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C57","EEE-1VA101XP","Part 1","100uF","1","PANASONIC_D"
"C58","CAP_0603","Part 1","10uF","1","CAP_0603"
"C59","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C60","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C61","CAP_0603","Part 1","0.22uF","1","CAP_0603"
"C62","CAP_0603","Part 1","0.1uF","1","CAP_0603"
"C63","EEE-1VA101XP","Part 1","100uF","1","PANASONIC_D"
"CN1","KPJX-3S/ KPJX-4S","Part 1","KPJX-3S-S","1","KPJX-3S or KPJX-4S"
"CN2","USB-B-TH","Part 1","AU-Y1007-R","1.3","AU-Y1007-R"
"CN3","1X4 0.1in Friction Lock","Part 1","71856-0004","1","4Pin 0.100 Molex Ramp"
"CN4","1X4 0.1in Friction Lock","Part 1","71856-0004","1","4Pin 0.100 Molex Ramp"
"CN5","1X4 0.1in Friction Lock","Part 1","71856-0004","1","4Pin 0.100 Molex Ramp"
"CN6","1X4 0.1in Friction Lock","Part 1","71856-0004","1","4Pin 0.100 Molex Ramp"
"CN7","2PIN HEADER 0.156","Part 1","640445-2","1","HDR-1x2 0.156"
"CN8","2PIN HEADER 0.156","Part 1","640445-2","1","HDR-1x2 0.156"
"CN9","1X2 0.1in Friction Lock","Part 1","171856-0002","1","2Pin 0.100 Molex Ramp"
"CN10","1X3 0.1in Friction Lock","Part 1","171856-0003","1","3Pin 0.100 Molex Ramp"
"CN11","1X3 0.1in Friction Lock","Part 1","171856-0003","1","3Pin 0.100 Molex Ramp"
"CN12","1X3 0.1in Friction Lock","Part 1","171856-0003","1","3Pin 0.100 Molex Ramp"
"CN13","1X3 0.1in Friction Lock","Part 1","171856-0003","1","3Pin 0.100 Molex Ramp"
"CN14","1X2 0.1in Friction Lock","Part 1","171856-0002","1","2Pin 0.100 Molex Ramp"
"CN15","1X2 0.1in Friction Lock","Part 1","171856-0002","1","2Pin 0.100 Molex Ramp"
"CN16","1X3 0.1in Friction Lock","Part 1","70545-0037 ","1","3Pin Molex 70545-0037 "
"CN17","1X2 0.1in Friction Lock","Part 1","171856-0002","1","2Pin 0.100 Molex Ramp"
"CN18","1X2 0.1in Friction Lock","Part 1","171856-0002","1","2Pin 0.100 Molex Ramp"
"CN19","1X2 0.1in Friction Lock","Part 1","171856-0002","1","2Pin 0.100 Molex Ramp"
"CN20","1X2 0.1in Friction Lock","Part 1","171856-0002","1","2Pin 0.100 Molex Ramp"
"CN21","1X2 0.1in Friction Lock","Part 1","171856-0002","1","2Pin 0.100 Molex Ramp"
"D1","LED","Part 1","LGQ971-KN-N","1","DIO_0603"
"D2","SBR2U30P1","BRIDGE_A","SBR2U30P1","1","SOD-123 / PowerDI123"
"D3","SBR2U30P1","BRIDGE_A","SBR2U30P1","1","SOD-123 / PowerDI123"
"D4","LED","Part 1","LGQ971-KN-N","1","DIO_0603"
"D5","LED","Part 1","LGQ971-KN-N","1","DIO_0603"
"D6","LED","Part 1","LGQ971-KN-N","1","DIO_0603"
"D8","SBR2U30P1","BRIDGE_A","SBR2U30P1","1","SOD-123 / PowerDI123"
"F1","FUSE","Part 1","SST 7","1","SST"
"FB1","IND_0805","Part 1","CIS21P300NE","1","IND_0805"
"FB2","IND_0805","Part 1","CIS21P300NE","1","IND_0805"
"FB3","IND_0805","Part 1","CIS21P300NE","1","IND_0805"
"J1","TF??","Part 1","TF??","3","TF??"
"J2","CC1X5M 2MM","Part 1","440054-5","","440054-5"
"J3","CC1X5M 2MM","Part 1","440054-5","","440054-5"
"J4","CC1X3M 2MM","Part 1","440054-3","","440054-31x3"
"JP1","CC1X5M 2MM","Part 1","440054-5","1","440054-5"
"JP2","2x3 .100in","Part 1","67998-406HLF","1","HDR-2x3"
"JP3","BOOT","Part 1","68602-402HLF","1","HDR-1x2"
"JP4","2x3 .100in","Part 1","67998-406HLF","1","HDR-2x3"
"JP6","","Part 1","68602-402HLF","1.3","HDR-1x2"
"JP7","CC1X5M 2MM","Part 1","440054-5","1.4","440054-5"
"L1","Yaiyo Yuden 10050","Part 1","NR10050T100M","1","Yaiyo Yuden 10050"
"L2","Yaiyo Yuden 10050","Part 1","NR10050T100M","1","Yaiyo Yuden 10050"
"Q1","MOSFETN","Part 1","MMBF170LT1G","1","SOT23"
"Q2","MOSFETN","Part 1","MMBF170LT1G","1","SOT23"
"Q3","MOSFET-N TO-252","Part 1","FDD8876","1","TO-252-A03"
"Q4","MOSFET-N TO-252","Part 1","FDD8876","1","TO-252-A03"
"Q5","MOSFETN","Part 1","NX2301P,215","1","SOT23"
"Q6","MOSFETN","Part 1","MMBF170LT1G","1","SOT23"
"Q7","MOSFETN","Part 1","MMBF170LT1G","1","SOT23"
"Q8","MOSFETN","Part 1","MMBF170LT1G","1.5","SOT23"
"R1","RES_0603","Part 1","330","1","RES_0603"
"R2","RES_0603","Part 1","100","1","RES_0603"
"R3","RES_0603","Part 1","100K","1","RES_0603"
"R4","RES_0603","Part 1","100K","1","RES_0603"
"R5","RES_0805","Part 1","0.11","1","RES_0805"
"R6","RES_0805","Part 1","0.11","1","RES_0805"
"R7","RES_0603","Part 1","100k","1","RES_0603"
"R8","RES_0603","Part 1","100k","1","RES_0603"
"R9","RES_0603","Part 1","4.7K","1","RES_0603"
"R10","RES_0603","Part 1","22","1","RES_0603"
"R11","RES_0805","Part 1","0.11","1","RES_0805"
"R12","RES_0603","Part 1","100K","1","RES_0603"
"R13","RES_0603","Part 1","100k","1","RES_0603"
"R14","RES_0805","Part 1","0.11","1","RES_0805"
"R15","RES_0805","Part 1","0.11","1","RES_0805"
"R16","RES_0805","Part 1","0.11","1","RES_0805"
"R17","RES_0805","Part 1","0.11","1","RES_0805"
"R18","RES_0805","Part 1","0.11","1","RES_0805"
"R19","RES_0603","Part 1","100K","1","RES_0603"
"R20","RES_0603","Part 1","330","1","RES_0603"
"R21","RES_0603","Part 1","330","1","RES_0603"
"R22","RES_0603","Part 1","330","1","RES_0603"
"R23","RES_0603","Part 1","330","1","RES_0603"
"R24","RES_0603","Part 1","52.3k","1","RES_0603"
"R25","RES_0603","Part 1","10k","1","RES_0603"
"R26","RES_0603","Part 1","18.2K","1","RES_0603"
"R27","RES_0603","Part 1","10k","1","RES_0603"
"R28","RES_0603","Part 1","140k","1","RES_0603"
"R29","RES_0603","Part 1","10k","1","RES_0603"
"R30","RES_0603","Part 1","18.2k","1","RES_0603"
"R31","RES_0603","Part 1","10k","1","RES_0603"
"R32","RES_0603","Part 1","330","1","RES_0603"
"R33","RES_0603","Part 1","330","1","RES_0603"
"R34","RES_0603","Part 1","10k","1","RES_0603"
"R35","RES_0603","Part 1","0","3","RES_0603"
"R36","RES_0603","Part 1","NA 0","3","RES_0603"
"R37","RES_0603","Part 1","100","1","RES_0603"
"R38","RES_0603","Part 1","100K","1.5","RES_0603"
"R39","RES_0603","Part 1","10K","1","RES_0603"
"R40","RES_0603","Part 1","0 NA","1.6","RES_0603"
"R41","RES_0603","Part 1","1k","1","RES_0603"
"R42","RES_0603","Part 1","10k","1","RES_0603"
"R43","RES_0603","Part 1","330","1","RES_0603"
"R44","RES_0603","Part 1","0/DNP","0","RES_0603"
"R45","RES_0603","Part 1","10K","1","RES_0603"
"R46","RES_0603","Part 1","100k","1","RES_0603"
"R47","RES_0603","Part 1","100k","1","RES_0603"
"R48","RES_0603","Part 1","20k","1","RES_0603"
"R49","ST-4ETB","Part 1","10k","1","ST-4EB"
"R50","RES_0603","Part 1","0/DNP","0","RES_0603"
"R51","RES_0603","Part 1","4.7K","1","RES_0603"
"R52","RES_0603","Part 1","10K","1","RES_0603"
"R53","RES_0603","Part 1","100k","1","RES_0603"
"R54","RES_0603","Part 1","100k","1","RES_0603"
"R55","RES_0603","Part 1","20k","1","RES_0603"
"R56","ST-4ETB","Part 1","10k","1","ST-4EB"
"R57","RES_0603","Part 1","22","1","RES_0603"
"R58","RES_0603","Part 1","NA 0","1.4","RES_0603"
"R59","RES_0603","Part 1","10K","1","RES_0603"
"R60","RES_0603","Part 1","100k","1","RES_0603"
"R61","RES_0603","Part 1","100k","1","RES_0603"
"R62","RES_0603","Part 1","20k","1","RES_0603"
"R63","ST-4ETB","Part 1","10k","1","ST-4EB"
"R64","RES_0603","Part 1","0","1","RES_0603"
"R66","RES_0603","Part 1","10K","1","RES_0603"
"R67","RES_0603","Part 1","100k","1","RES_0603"
"R68","RES_0603","Part 1","100k","1","RES_0603"
"R69","RES_0603","Part 1","20k","1","RES_0603"
"R70","ST-4ETB","Part 1","10k","1","ST-4EB"
"SJ1","SOLDERJUMPER_2WAYCONNECTED","Part 1","","1","SJ_3_CONNECTED"
"SJ2","SOLDERJUMPER_2WAYCONNECTED","Part 1","","1","SJ_3_CONNECTED"
"SJ3","SOLDERJUMPER_2WAYCONNECTED","Part 1","","1","SJ_3_CONNECTED"
"SJ4","SOLDERJUMPER_2WAYCONNECTED","Part 1","","1","SJ_3_CONNECTED"
"TP1","TESTPOINT","Part 1","","","Testpoint"
"TP2","TESTPOINT","Part 1","","","Testpoint"
"U1","AT90USB1286_TQFP","Part 1","AT90USB1286","1.1","QFP-64/16x16x0.8"
"U2","AT90USB1286_QFN","Part 1","AT90USB1286","1.2","QFN-64/9x9x0.5"
"U3","ATTINY2313_MLF","Part 1","ATTINY2313A-MUR","1","QFN-20/4x4x0.5"
"U4","MC74VHC1G14DFT1","Part 1","","1","SOT353"
"U5","AOZ1212DI/AI","Part 1","AOZ1212DI/AI","1","SO-8/DFN nested"
"U6","AOZ1212DI/AI","Part 1","AOZ1212DI/AI","1","SO-8/DFN nested"
"U7","AP7313","Part 1","AP7313-33SAG-7","3","SOT23"
"U8","TXB0104","Part 1","TXB0104","3","TSSOP-14"
"U9","A4982SETTR-T","Part 1","A4982SETTR-T","1","QFN-32/5x5x9"
"U10","A4982SETTR-T","Part 1","A4982SETTR-T","1","QFN-32/5x5x9"
"U11","A4982SETTR-T","Part 1","A4982SETTR-T","1","QFN-32/5x5x9"
"U12","A4982SETTR-T","Part 1","A4982SETTR-T","1","QFN-32/5x5x9"
"U13","L78M05CDT-TR","Part 1","L78M05CDT-TR","1","TO252-3(4)/10x6.6x2.28"
"U14","ATTINY2313_SOIC","Part 1","ATTINY2313A-MUR","1","SOIC-20/300mil"
"X1","ABM3","Part 1","ABM3-16.000MHZ-D2Y-T","1","AMB3"
